name,type,lat,lng
ชุมชนหลังโรงกรองน้ำภาษีเจริญ,ชุมชนแออัด,13.733125137171852,100.4761743280023
ชุมชนวัดท่าพระ,ชุมชนแออัด,13.734208067166213,100.47458718917335
ชุมชนโค้งกระเทียม,ชุมชนแออัด,13.73755596083196,100.47630839736199
ชุมชนหลังโรงเคลือบ,ชุมชนแออัด,13.733957853422716,100.47012404853689
ชุมชนข้างโรงเรียนเสสะเวช,ชุมชนแออัด,13.736044733303176,100.46843678428424
ชุมชนหลังโรงเรียนเสสะเวช,ชุมชนแออัด,13.736493801511877,100.46854591956478
ชุมชนปลายซอยศักดิ์เจริญ,ชุมชนแออัด,13.733445640262541,100.46352731647936
ชุมชนวัดใหม่พิเรนทร์,ชุมชนแออัด,13.741542536630394,100.48118517635376
ชุมชนพัฒนาอยู่สุข,ชุมชนแออัด,13.739927953236325,100.48449841108675
ชุมชนสวนหลวง,ชุมชนแออัด,13.767793953241892,100.48387846925884
ชุมชนวัดบางขุนนนท์,ชุมชนแออัด,13.767346455778073,100.46861630163937
ชุมชนสันติชนสงเคราะห์,ชุมชนแออัด,13.7635515927938,100.47965547646946
ชุมชนวัดสุวรรณาราม,ชุมชนแออัด,13.761905853112372,100.47786491721673
ชุมชนวัดไชยทิศ,ชุมชนแออัด,13.768083048253178,100.46332286219034
ชุมชนซอยวัดมะลิ 2 (เจือ  เชื่อมจิตต์),ชุมชนแออัด,13.761400271349935,100.46527307787107
ชุมชนวัดรวกสุทธาราม,ชุมชนแออัด,13.757914881860838,100.46614148314174
ชุมชนหลังตลาดนครหลวง,ชุมชนแออัด,13.75426326298593,100.46722094943026
ชุมชนปลายซอยจรัญสนิทวงศ์ 29 (ฝั่งซ้าย),ชุมชนแออัด,13.751837482540688,100.46756591502583
ชุมชนปลายซอยจรัญสนิทวงศ์ 29 (ฝั่งขวา),ชุมชนแออัด,13.75051072777426,100.46759984185418
ชุมชนชอยประชาร่วมใจ,ชุมชนแออัด,13.746915919264561,100.46596726299518
ชุมชนตรอกไผ่-วัดบางเสาธง,ชุมชนแออัด,13.744294625675956,100.46802753701944
ชุมชนวัดดงมูลเหล็ก,ชุมชนแออัด,13.75224451038793,100.47566406910481
ชุมชนวัดพระยาทำ,ชุมชนแออัด,13.748145143172316,100.48224965237593
ชุมชนซอยบ้านช่างหล่อ,ชุมชนแออัด,13.754777937639727,100.48148626815627
ชุมชนตรอกวังหลัง,ชุมชนแออัด,13.755254944634883,100.48483747309838
ชุมชนวัดระฆัง,ชุมชนแออัด,13.753102644850374,100.48461236845957
ชุมชนเคหะชุมชนสถานีตำรวจบางกอกน้อย,เคหะชุมชน,13.759194537076612,100.4704092177433
ชุมชนวัดอมรทายิการาม,ชุมชนแออัด,13.75950241405374,100.47448016977658
ชุมชนซอยสุดสาคร,ชุมชนแออัด,13.756479201660895,100.47420692807471
ชุมชนวัดยางสุทธาราม,ชุมชนแออัด,13.7544098732115,100.47389747438845
ชุมชนวัดดุสิตาราม,ชุมชนแออัด,13.763186100692245,100.48537531773027
ชุมชนวัดโพธิ์เรียง,ชุมชนแออัด,13.74460042794343,100.47226755659442
ชุมชนวัดอัมพวา,ชุมชนแออัด,13.748997719441661,100.47612112866246
ชุมชนวัดครุฑ,ชุมชนแออัด,13.745264638403045,100.47683636762964
ชุมชนวัดวิเศษการ-วัดฉิมทายกาวาส,ชุมชนเมือง,13.757939032007403,100.48269865712469
ชุมชนบุปผาสวรรค์,ชุมชนเมือง,13.749417496653875,100.46653327180405
ชุมชนพรพิพัฒน์,ชุมชนเมือง,13.75727733400045,100.47163973700364
ชุมชนซอยจรัญสนิทวงศ์ 41,ชุมชนเมือง,13.769877050639098,100.47335596816357
ชุมชนมัสยิดหลวงอันซอริซซุนนะห์,ชุมชนแออัด,13.76196746278526,100.48546830735309
ชุมชนวัดใหม่ยายแป้น,ชุมชนแออัด,13.765168711079175,100.47365528280915
ชุมชนชวนชื่น,ชุมชนแออัด,13.769896906416706,100.46786165812718
ชุมชนหมู่บ้านปัทมอร,ชุมชนหมู่บ้านจัดสรร,13.759041857338268,100.46118800751697
ชุมชนจรัญ 31 รวมใจ,ชุมชนเมือง,13.753827743492652,100.46513562142201
ชุมชนหัวถนน(วัดแก้ว),ชุมชนแออัด,13.756343176342645,100.45991861090141
ชุมชนหมู่บ้านพัฒนาหมู่7 แขวงฉิมพลี,ชุมชนชานเมือง,13.794115913445841,100.41268672058291
ชุมชนสะพานผัก-คลองศาลเจ้า,ชุมชนชานเมือง,13.79625699206788,100.44326020788418
ชุมชนริมทางรถไฟชัยพฤกษ์,ชุมชนชานเมือง,13.787165595268032,100.45855357406394
ชุมชนริมคลองชักพระ,ชุมชนแออัด,13.780710884354152,100.46604828689854
ชุมชนหลังวัดกาญจนสิงหาสน์,ชุมชนแออัด,13.760460208369821,100.45420214037163
ชุมชนหลังวัดรัชฎาธิษฐาน,ชุมชนชานเมือง,13.755666878257866,100.45766065660344
ชุมชนวัดกระจัง,ชุมชนชานเมือง,13.774450064269066,100.44075403931363
ชุมชนหมู่บ้านพัฒนาหมู่ 13 แขวงบางระมาด,ชุมชนชานเมือง,13.7707366002504,100.44603348353823
ชุมชนวัดจำปา,ชุมชนชานเมือง,13.77380457821349,100.43461082594695
"ชุมชนหมู่บ้านพัฒนาวัดกาญจนสิงหาสน์ (18,19)",ชุมชนชานเมือง,13.758046294048384,100.44735078321074
ชุมชนหมู่บ้านพัฒนาหมู่ 6 แขวงบางระมาด,ชุมชนชานเมือง,13.775049537739998,100.4315484799405
"ชุมชนหมู่ 1,3 บางพรม",ชุมชนชานเมือง,13.744626686628601,100.45661561302398
ชุมชนวัดเกาะ,ชุมชนชานเมือง,13.742875251836322,100.45297757405686
ชุมชนศาลเจ้าพ่อจุ้ย,ชุมชนชานเมือง,13.782044481973575,100.45553560316321
ชุมชนโรงเรียนวัดตลิ่งชัน,ชุมชนแออัด,13.780296131085287,100.45692710690433
ชุมชนบ้านลุ่ม,ชุมชนแออัด,13.78180997354099,100.45869143553992
ชุมชนวัดเพลงกลางสวน,ชุมชนชานเมือง,13.752914637592427,100.44062081344156
ชุมชนวัดสมรโกฏิ-บางระจัน,ชุมชนชานเมือง,13.773812635933984,100.44478967861131
ชุมชนวัดดาวคะนอง,ชุมชนแออัด,13.696250397155724,100.48771952793246
ชุมชนมะนาวหวาน,ชุมชนแออัด,13.698207259288813,100.48605900692607
ชุมชนตรอกสะพานยาว,ชุมชนแออัด,13.69940376069118,100.48136581908241
ชุมชนโกวบ๊อพัฒนา,ชุมชนแออัด,13.704843755216544,100.48355123694627
ชุมชนวัดบางน้ำชน,ชุมชนแออัด,13.703434387824533,100.4913103793077
ชุมชนเกื้อวิทยา,ชุมชนแออัด,13.708034466836294,100.4905425342824
ชุมชนสุทธาราม,ชุมชนแออัด,13.713614312129085,100.4921911432053
ชุมชนสนามแดง,ชุมชนแออัด,13.713010441715006,100.48250685774522
ชุมชนสองร้อยห้อง,ชุมชนแออัด,13.715931942016134,100.48240557028905
ชุมชนวัดบางสะแกใน,ชุมชนแออัด,13.711031475578368,100.47464585462214
ชุมชนสามัคคีธรรม,ชุมชนแออัด,13.719123991701112,100.4729632857202
ชุมชนวัดกันตทาราราม,ชุมชนแออัด,13.720106165750549,100.47802941440867
ชุมชนโรงเจ 1,ชุมชนแออัด,13.720563213348628,100.47982489009088
ชุมชนหลังศูนย์จันฉิมไพบูลย์,ชุมชนแออัด,13.720942519970395,100.48158058718715
ชุมชนโรงเจ 2,ชุมชนแออัด,13.718799996908439,100.48160701934722
ชุมชนสายสัมพันธ์,ชุมชนแออัด,13.716642104631857,100.48738961099244
ชุมชนวัดกัลยาณ์,ชุมชนแออัด,13.739394140244302,100.49025681285104
ชุมชนกุฎีขาว,ชุมชนแออัด,13.738046640328616,100.48886184197156
ชุมชนวัดบุปผาราม,ชุมชนแออัด,13.735782434323124,100.49145167728233
ชุมชนวัดประยูรวงศ์,ชุมชนแออัด,13.737408442096946,100.49592645284886
ชุมชนกุฎีจีน,ชุมชนแออัด,13.739042630735739,100.49363722926556
ชุมชนโรงคราม,ชุมชนแออัด,13.736430659903272,100.48814136829093
ชุมชนศรีภูมิ,ชุมชนแออัด,13.72867231847197,100.48629976074655
ชุมชนวัดใหญ่ศรีสุพรรณ,ชุมชนแออัด,13.729553729429867,100.48816560495814
ชุมชนสามัคคีศรีสุพรรณ,ชุมชนแออัด,13.730440633503044,100.48911839612653
ชุมชนมัสยิดบ้านสมเด็จ,ชุมชนแออัด,13.730687468433048,100.49202858578326
ชุมชนบางไส้ไก่บ้านสมเด็จ,ชุมชนแออัด,13.7319231915425,100.49004085930261
ชุมชนวัดประดิษฐาราม,ชุมชนแออัด,13.734318355444662,100.48765472374095
ชุมชนสี่แยกบ้านแขก,ชุมชนแออัด,13.730578020125618,100.49368476556093
ชุมชนประสานมิตร,ชุมชนแออัด,13.728853950931539,100.48897315290988
ชุมชนข้างสถานีรถไฟวงเวียนใหญ่,ชุมชนแออัด,13.724750588691528,100.48681655614507
ชุมชนวัดอินทาราม,ชุมชนแออัด,13.723034594842469,100.4835585587422
ชุมชนตรอกเทวดา,ชุมชนแออัด,13.72511179784436,100.49006546775036
ชุมชนสวนพลู,ชุมชนแออัด,13.721984559968705,100.4877457229298
ชุมชนตากสินสัมพันธ์,ชุมชนแออัด,13.72059021592875,100.48868409599491
ชุมชนพัฒนาบ้านล่าง,ชุมชนแออัด,13.7235174064232,100.48575990894658
ชุมชนหลังไปรษณีย์สำเหร่,ชุมชนแออัด,13.715953812972277,100.49172801730838
ชุมชนแซ่ซิ้มสวนบน,ชุมชนแออัด,13.717496997134837,100.48652875126669
ชุมชนปากคลองบางสะแก,ชุมชนแออัด,13.72164042599911,100.47257561229516
ชุมชนหลังวัดพิชัยญาติ,ชุมชนแออัด,13.732392774044452,100.49553749279298
ชุมชนซอยสารภี 1,ชุมชนแออัด,13.731747726209608,100.49663259532255
ชุมชนซอยช่างนาค-สะพานยาว,ชุมชนแออัด,13.73371099469924,100.49970223513908
ชุมชนสวนสมเด็จย่า,ชุมชนเมือง,13.737011860615398,100.49797152975817
ชุมชนซอยท่าดินแดง 14 และซอยท่าดินแดง 16,ชุมชนเมือง,13.735492599948122,100.50476285970728
ชุมชนซอยแยกถนนเชียงใหม่,ชุมชนแออัด,13.734770153181795,100.50760970071126
ชุมชนวัดทองธรรมชาติ,ชุมชนแออัด,13.7328699683602,100.50533040112062
ชุมชนหลังโรงเรียนกุลสิริเทคโนโลยี,ชุมชนแออัด,13.731000308546793,100.50360092459356
ชุมชนวัดทองนพคุณ,ชุมชนแออัด,13.732352499383195,100.50773121524082
ชุมชนซอยร่วมมิตร,ชุมชนแออัด,13.725756035877804,100.49899923201676
ชุมชนมัสยิดสุวรรณภูมิ,ชุมชนแออัด,13.725318351740993,100.51019375949018
ชุมชนข้างโรงเรียนมิตรพลพณิชยการ,ชุมชนแออัด,13.727722752726491,100.50687754650143
ชุมชนหน้าตลาดศิรินทร์,ชุมชนแออัด,13.725802022571198,100.50796444242398
ชุมชนคลองต้นไทร,ชุมชนแออัด,13.719375639318736,100.50452314740528
ชุมชนซอยเจริญนคร 20,ชุมชนเมือง,13.717283094609803,100.50636422068393
ชุมชนวัดเศวตฉัตร,ชุมชนแออัด,13.713519614569604,100.50668405262871
