name,lat,lng
โรงพยาบาลคณะทันตแพทยศาสตร์,13.743289080590703,100.53493553629701
โรงพยาบาล วิภาราม,13.734751072933314,100.64549710574623
โรงพยาบาล รามคำแหง,13.757811155223559,100.63669335452975
โรงพยาบาลตำรวจ,13.743141842286935,100.53802528796999
Chaophya Hospital,13.780338002865491,100.47059754165178
Praram 9 Hospital,13.752925502613712,100.57078588186214
Smitivej Thonburi,13.714291752921524,100.48986171339871
Vichaiyut Hospital (Old [North] Building),13.783419679548139,100.53374937603758
โรงพยาบาลเทียนฟ้ามูลนิธิ,13.738245526746475,100.51230521027001
Paolo Memorial Hospital,13.792796730281765,100.54990303719163
Camillian Hospital,13.739161366622167,100.58352439062772
โรงพยาบาลจักษุ รัตนิน,13.74650794963074,100.56308314293581
Piyavate Hospital,13.753422361878,100.58012110483972
รพ.บ้านแพ้ว พร้อมมิตร,13.733160362309416,100.57368257892064
โรงพยาบาลสวนเบญจกิติเฉลิมพระเกียรติ 84 พรรษา,13.724621725618512,100.55399785525016
โรงพยาบาล เพชรเวช,13.743330599999998,100.5936225
Phaya Thai 1,13.75626956604388,100.53933706951977
Bangprakok 9 International Hospital,13.681954048776907,100.47462599814371
Phyathai 3 Hospital,13.722966298191642,100.46398677577781
โรงพยาบาลสมเด็จพระปิ่นเกล้า,13.71010337943626,100.48482036737283
โรงพยาบาลลาดพร้าว,13.778131705034017,100.62429111175071
โรงพยาบาลเวชธานี,13.771952257251996,100.63700710082297
โรงพยาบาลบำรุงราษฎร์,13.746110471814836,100.55236528070665
โรงพยาบาลนพรัตนราชธานี,13.817355779840492,100.68809126642728
โรงพยาบาลเลิดสิน,13.721867825762914,100.51749419309215
"Dental Hospital, Mahidol University",13.763888201224765,100.53311198254427
โรงพยาบาลเซนต์หลุยส์,13.719116552014357,100.52507933931413
รพ เกษมราษฎร์ บางแค,13.710810793331355,100.3988533503423
Saint Carlos Hospital,13.78385382613486,100.57659090544206
โรงพยาบาลสายไหม,13.923936472601495,100.68409857009105
Vichaiyut Hospital (New [South] Building),13.780617594083305,100.53284872781649
Public Health Center,13.777469174521196,100.57020451836681
โรงพยาบาลพระมงกุฎเกล้า,13.767662373766083,100.53450269895315
Sikarin Hospital,13.654212163254769,100.6461784302112
โรงพยาบาลบางปะกอก 8,13.662613863328529,100.40717561005448
โรงพยาบาลเจริญกรุงประชารักษ์,13.694253152946636,100.49443581251887
โรงพยาบาลกรุงเทพ,13.74893281484077,100.58338501811204
โรงพยาบาลยันฮี,13.799691455795632,100.51154282323051
Bangkok Hospital,13.737750239764608,100.51253669898291
โรงพยาบาลพญาไท นวมินทร์,13.825432621992256,100.65758357503597
โรงพยาบาลตากสิน,13.730803448392104,100.50808908601546
Prachachuen MRI,13.6815135394096,100.47428719748073
โรงพยาบาลสุขุมวิท,13.7189166457777,100.58731924651747
serithai animalclinic,13.793904152502343,100.68878580597537
Kasemrad Hospital Ramkhamhaeng,13.780012008976641,100.67611222838212
โรงพยาบาลคลองสามวา,13.910409706646888,100.75313316779332
Ibaby Fertility & Genetic Center,13.741347211045154,100.5487715648744
ศูนย์บริการสาธารณสุข 23 สี่พระยา,13.730743130138151,100.52032791640481
Bhumirajanagarindra Kidney Institute Hospital,13.760003482070651,100.53454555821831
Priest Hospital,13.761866403766472,100.52711513390165
โรงพยาบาลพระมงกุฎเกล้า,13.767926819583415,100.5344659111567
ศูนย์การแพทย์ภัทรมหาราชานุสรณ์ โรงพยาบาลจุฬาภรณ์,13.879529401504525,100.57283760152053
โรงพยาบาลสมเด็จเจ้าพระยา,13.730331380356615,100.50465343130185
โรงพยาบาลเมดพาร์ค,13.721812254903778,100.55666779197851
โรงพยาบาลรามาธิบดี,13.767258322399284,100.52644328373594
โรงพยาบาลศิริราช,13.757777430745733,100.48537045618905
โรงพยาบาลศิริราช ปิยมหาราชการุณย์,13.76008339459113,100.48614836936905
